userID,username,follower_count,verification_status
AEWBrazil,1460380516826370051,1118,True
TullyBFTR,1445112483019165702,509,True
BAndersonAEW,1404865002226475010,9981,True
730hook,1354688990750846976,25236,True
YUKES_AEW,1328918338991394817,9198,True
Jade_Cargill,1316145832492781568,98827,True
Thee_Red_Velvet,1272878343881359360,36943,True
AEWGames,1261083357800259585,71687,True
AEW_Heels,1261016959724007426,9814,True
AEWbyJazwares,1224814810610765825,10349,True
KillLutherKill,1215645419222388736,16917,True
TheJuliaHart,1206235194287636481,30282,True
AEWDark,1166533667805704194,24218,True
ShopAEW,1151270124432822280,22853,True
bearbronsonBC,1135972913113436163,3558,True
TopFlight612,1133957254091292672,17584,True
AEWonTV,1128707845589876736,399929,True
WWEonFOX,1115420364220145664,444159,True
TheArnShow,1104142803091763200,43656,True
Mr_Freakbeast,1096786431996059648,11425,True
LegitLeyla,1091831713469292544,29472,True
abadon_AEW,1086561428624949248,57083,True
jacyjaynewwe,1067849987453784067,23364,True
boy_myth_legend,1062824476432261120,127856,True
AEW,1054863627029598208,768506,True
itsjerrylynn,1052349139298717698,26729,True
CoraJadeWWE,1048807276767797248,72787,True
RefAubrey,971851524333711361,128265,True
AEWLive,936438213144645633,126992,True
BigShottyLee,904870814666731520,15253,True
realmarkostunt,856321660076609537,70466,True
ShawnDean773,849691659713433600,19587,True
lucha_angel1,848185426326282241,30073,True
bear_boulder,833127249062850563,5415,True
PENTAELZEROM,823733605025226752,127385,True
TrishAdora202,815929583971213313,11231,False
MadKing1981,815451826178977792,118661,True
Marq_Quen,815432719316451328,37588,True
TayConti_,791075512319873024,250297,True
TheDonCallis,779402923407060993,39313,True
JakeAtlasReal,778124942089064448,25324,True
ReyFenixMx,755061850262253568,106651,True
RealWardlow,752510522528927744,43375,True
DarbyAllin,728015864012771329,176209,True
WheelerYuta,4187272995,15718,True
IsiahKassidy,3410824275,45617,True
SonnyKissXO,3405370583,57705,True
DaniJordyn,3369885016,25869,False
SwoleWorld,3362663615,67266,True
SimoneGJohnson,3244861583,63664,True
MjcChioda,3060523643,14818,False
TheRealTMurdoch,3042485330,9337,False
Carmelo_WWE,2992832620,23380,True
Alan_V_Angels,2942110938,44272,True
riho_gtmv,2888370894,47682,True
KennyOmegamanX,2879312390,520632,True
DariusMartin612,2878456694,20842,True
TheKipSabian,2782789191,48340,True
jmehytr,2729062619,72519,True
thunderrosa22,2660785910,153181,True
ShutUpExcalibur,2408462113,61545,True
RebelTanea,2352597950,100049,True
annajay___,2172692378,165518,True
RheaRipley_WWE,1958028342,459069,True
griffgarrison1,1713881011,25701,True
NylaRoseBeast,1446790507,83830,True
AndradeElIdolo,1443850159,298870,True
JackEvans711,1322038790,45526,True
AngelicoAAA,1260626695,48520,True
FuegoDelSol,1134545383,42988,True
GarciaWrestling,1066732146,19806,True
sammyguevara,775025786,184756,True
WWERomanReigns,739417207,4524370,True
briancagegmsi,637390557,102005,True
Ortiz_Powerful,594072003,62630,True
DaxFTR,575940227,302934,True
WWEBigE,533394907,940494,True
realrubysoho,529654692,371112,True
HoganKnowsBest3,518113700,55486,True
CodyRhodes,516771605,1004256,True
Pres10Vance,515085969,46116,True
Santana_Proud,504699572,95948,True
stu_dos,502260026,51511,True
BASTARDPAC,467169923,608797,True
callmekrisstat,467130861,99234,True
DiamanteLAX,459924108,39681,True
coltengunn,457634150,8928,True
Sting,456066070,648726,True
itsBayleyWWE,433804134,1656451,True
The_MJF,408051799,252624,True
TonyKhan,397823963,259380,True
JANELABABY,346727379,55657,True
AaronSoloAEW,337326610,13710,True
KORcombat,321562952,223246,True
TheMarkHenry,288000034,1307289,True
BladeofBuffalo,278836755,41426,True
IamLioRush,273122696,89443,True
TheRock,250831586,15689260,True
luchasaurus,239637813,118798,True
tonyschiavone24,238276429,138974,True
AnthonyOgogo,236854083,95538,True
ThisBrodieLee,222177340,515986,True
theAdamPage,195863018,284207,True
theaustingunn,194344162,25862,True
FrankieKazarian,186648669,222072,True
SilverNumber1,185752091,91743,True
ryrynemnem,181325123,41382,True
OfficialEGO,178505322,78771,True
CMPunk,177345928,2718295,True
QTMarshall,174453530,30645,True
JohnnyGargano,151583233,372296,True
shidahikaru,147929592,136657,True
JimmyHavoc,146415090,72994,True
AdamColePro,145870212,502752,True
JohnCena,141664648,13482468,True
dustinrhodes,135039839,709213,True
MarkSterlingEsq,133380410,12679,True
TheLethalJay,130655300,172423,True
WWERollins,122555803,3982256,True
RealArmandoHaHa,121606496,26666,False
LanceHoyt,120216237,122402,True
FlyinBrianJr,118499897,92986,True
bryandanielson,115682368,4600157,True
RealBrittBaker,115072361,279052,True
WWENXT,110895343,1551767,True
wrestlingleva,108863515,106104,True
HEELZiggler,105251590,2761519,True
CashWheelerFTR,98274121,266592,True
JRsBBQ,89556802,1737766,True
PlatinumMax,88373372,33251,True
TrueWillieHobbs,87507728,40165,True
TheBrandiRhodes,79863704,420740,True
YTAlexReynolds,78957018,40431,True
mexwarrior,71091067,425640,True
ReneePaquette,70725301,1205629,True
BeingTheElite,61691554,356691,True
Bowens_Official,60236568,37054,True
RaquelWWE,59559832,96210,True
TonyNese,58103614,84930,True
Brodyxking,56867786,29150,False
WWEGraves,54403121,515972,True
SexyChuckieT,54310380,106238,True
KingSerpentico,54040790,18844,True
karenmeee,52967115,37919,True
andycomplains,50789545,50750,True
OfficialTAZ,49368656,472117,True
facdaniels,48398960,289319,True
ToBeMiro,45675029,801012,True
IAmJericho,44527648,3601867,True
RealJakeHager,43949085,931126,True
MATTHARDYBRAND,43298203,1493565,True
CarmellaWWE,42663408,1119459,True
AustinCreedWins,41284429,811384,True
PAvalon,40978943,34730,True
mayradiasgomes,39938620,61115,True
orangecassidy,39108703,188850,True
ColtCabana,38973010,265980,True
trentylocks,35958311,236489,True
Goldberg,35471392,608502,True
EvilUno,34638869,109635,True
JeffTheShow,34342402,13427,True
MattTheShow,34112553,15295,True
youngbucks,33055971,409059,True
BranCutler,32483458,51591,True
ShawnSpears,32324577,200463,True
SerenaDeeb,30660048,106060,True
AllieWrestling,30243284,172673,True
UGeneDinsmore,29381931,48881,True
ScorpioSky,27437357,75313,True
ontheairalex,25622507,11122,True
SamoaJoe,23935121,877068,True
WWE,7517222,11826833,True
